Bundesland,Kreis/Stadt,Fälle,Tote
Schleswig-Holstein,SK Flensburg,12,0
Schleswig-Holstein,SK Kiel,36,0
Schleswig-Holstein,SK Lübeck,21,1
Schleswig-Holstein,SK Neumünster,1,0
Schleswig-Holstein,LK Dithmarschen,12,0
Schleswig-Holstein,LK Herzogtum Lauenburg,21,0
Schleswig-Holstein,LK Nordfriesland,15,0
Schleswig-Holstein,LK Ostholstein,11,0
Schleswig-Holstein,LK Pinneberg,62,0
Schleswig-Holstein,LK Plön,12,0
Schleswig-Holstein,LK Rendsburg-Eckernförde,30,0
Schleswig-Holstein,LK Schleswig-Flensburg,24,0
Schleswig-Holstein,LK Segeberg,27,0
Schleswig-Holstein,LK Steinburg,12,0
Schleswig-Holstein,LK Stormarn,12,0
Hamburg,SK Hamburg,587,0
Niedersachsen,SK Braunschweig,12,0
Niedersachsen,SK Salzgitter,8,0
Niedersachsen,SK Wolfsburg,9,0
Niedersachsen,LK Gifhorn,27,0
Niedersachsen,LK Goslar,18,0
Niedersachsen,LK Helmstedt,11,0
Niedersachsen,LK Northeim,12,0
Niedersachsen,LK Peine,13,0
Niedersachsen,LK Wolfenbüttel,3,0
Niedersachsen,LK Göttingen,42,0
Niedersachsen,Region Hannover,113,0
Niedersachsen,LK Diepholz,44,0
Niedersachsen,LK Hameln-Pyrmont,18,0
Niedersachsen,LK Hildesheim,33,0
Niedersachsen,LK Holzminden,19,0
Niedersachsen,LK Nienburg (Weser),12,0
Niedersachsen,LK Schaumburg,21,0
Niedersachsen,LK Celle,26,0
Niedersachsen,LK Cuxhaven,23,0
Niedersachsen,LK Harburg,52,0
Niedersachsen,LK Lüchow-Dannenberg,5,0
Niedersachsen,LK Lüneburg,49,0
Niedersachsen,LK Osterholz,23,0
Niedersachsen,LK Rotenburg (Wümme),21,0
Niedersachsen,LK Heidekreis,4,0
Niedersachsen,LK Stade,44,0
Niedersachsen,LK Uelzen,5,0
Niedersachsen,LK Verden,22,0
Niedersachsen,SK Delmenhorst,6,0
Niedersachsen,SK Emden,7,0
Niedersachsen,SK Oldenburg,21,0
Niedersachsen,SK Osnabrück,75,0
Niedersachsen,SK Wilhelmshaven,5,0
Niedersachsen,LK Ammerland,13,0
Niedersachsen,LK Aurich,19,0
Niedersachsen,LK Cloppenburg,3,0
Niedersachsen,LK Emsland,30,0
Niedersachsen,LK Friesland,3,0
Niedersachsen,LK Grafschaft Bentheim,21,0
Niedersachsen,LK Leer,11,0
Niedersachsen,LK Oldenburg,14,0
Niedersachsen,LK Osnabrück,64,0
Niedersachsen,LK Vechta,33,0
Niedersachsen,LK Wesermarsch,5,0
Niedersachsen,LK Wittmund,4,0
Bremen,SK Bremen,127,0
Bremen,SK Bremerhaven,15,0
Nordrhein-Westfalen,SK Düsseldorf,155,0
Nordrhein-Westfalen,SK Duisburg,55,0
Nordrhein-Westfalen,SK Essen,58,1
Nordrhein-Westfalen,SK Krefeld,41,0
Nordrhein-Westfalen,SK Mönchengladbach,35,0
Nordrhein-Westfalen,SK Mülheim a.d.Ruhr,17,0
Nordrhein-Westfalen,SK Oberhausen,11,0
Nordrhein-Westfalen,SK Remscheid,13,0
Nordrhein-Westfalen,SK Solingen,9,0
Nordrhein-Westfalen,SK Wuppertal,37,0
Nordrhein-Westfalen,LK Kleve,69,0
Nordrhein-Westfalen,LK Mettmann,72,0
Nordrhein-Westfalen,LK Rhein-Kreis Neuss,38,0
Nordrhein-Westfalen,LK Viersen,39,0
Nordrhein-Westfalen,LK Wesel,66,0
Nordrhein-Westfalen,SK Bonn,73,0
Nordrhein-Westfalen,SK Köln,225,0
Nordrhein-Westfalen,SK Leverkusen,29,0
Nordrhein-Westfalen,StadtRegion Aachen,178,0
Nordrhein-Westfalen,LK Düren,41,0
Nordrhein-Westfalen,LK Rhein-Erft-Kreis,48,0
Nordrhein-Westfalen,LK Euskirchen,13,0
Nordrhein-Westfalen,LK Heinsberg,807,5
Nordrhein-Westfalen,LK Oberbergischer Kreis,50,0
Nordrhein-Westfalen,LK Rheinisch-Bergischer Kreis,48,0
Nordrhein-Westfalen,LK Rhein-Sieg-Kreis,30,0
Nordrhein-Westfalen,SK Bottrop,9,0
Nordrhein-Westfalen,SK Gelsenkirchen,13,0
Nordrhein-Westfalen,SK Münster,124,0
Nordrhein-Westfalen,LK Borken,131,0
Nordrhein-Westfalen,LK Coesfeld,70,0
Nordrhein-Westfalen,LK Recklinghausen,72,0
Nordrhein-Westfalen,LK Steinfurt,100,0
Nordrhein-Westfalen,LK Warendorf,83,0
Nordrhein-Westfalen,SK Bielefeld,11,0
Nordrhein-Westfalen,LK Gütersloh,101,0
Nordrhein-Westfalen,LK Herford,35,0
Nordrhein-Westfalen,LK Höxter,2,0
Nordrhein-Westfalen,LK Lippe,103,0
Nordrhein-Westfalen,LK Minden-Lübbecke,111,0
Nordrhein-Westfalen,LK Paderborn,36,0
Nordrhein-Westfalen,SK Bochum,34,0
Nordrhein-Westfalen,SK Dortmund,64,0
Nordrhein-Westfalen,SK Hagen,11,0
Nordrhein-Westfalen,SK Hamm,16,0
Nordrhein-Westfalen,SK Herne,6,0
Nordrhein-Westfalen,LK Ennepe-Ruhr-Kreis,11,0
Nordrhein-Westfalen,LK Hochsauerlandkreis,60,0
Nordrhein-Westfalen,LK Märkischer Kreis,31,0
Nordrhein-Westfalen,LK Olpe,9,0
Nordrhein-Westfalen,LK Siegen-Wittgenstein,15,0
Nordrhein-Westfalen,LK Soest,12,0
Nordrhein-Westfalen,LK Unna,15,0
Hessen,SK Darmstadt,23,0
Hessen,SK Frankfurt am Main,148,0
Hessen,SK Offenbach,6,0
Hessen,SK Wiesbaden,52,1
Hessen,LK Bergstraße,38,0
Hessen,LK Darmstadt-Dieburg,62,0
Hessen,LK Groß-Gerau,56,0
Hessen,LK Hochtaunuskreis,51,0
Hessen,LK Main-Kinzig-Kreis,50,0
Hessen,LK Main-Taunus-Kreis,39,0
Hessen,LK Odenwaldkreis,15,0
Hessen,LK Offenbach,44,1
Hessen,LK Rheingau-Taunus-Kreis,31,0
Hessen,LK Wetteraukreis,38,0
Hessen,LK Gießen,37,0
Hessen,LK Lahn-Dill-Kreis,32,0
Hessen,LK Limburg-Weilburg,44,0
Hessen,LK Marburg-Biedenkopf,35,0
Hessen,LK Vogelsbergkreis,17,0
Hessen,SK Kassel,39,0
Hessen,LK Fulda,76,0
Hessen,LK Hersfeld-Rotenburg,21,0
Hessen,LK Kassel,38,0
Hessen,LK Schwalm-Eder-Kreis,56,0
Hessen,LK Waldeck-Frankenberg,29,0
Hessen,LK Werra-Meißner-Kreis,3,0
Rheinland-Pfalz,SK Koblenz,36,0
Rheinland-Pfalz,LK Ahrweiler,31,0
Rheinland-Pfalz,LK Altenkirchen,4,0
Rheinland-Pfalz,LK Bad Kreuznach,37,0
Rheinland-Pfalz,LK Birkenfeld,5,0
Rheinland-Pfalz,LK Cochem-Zell,40,0
Rheinland-Pfalz,LK Mayen-Koblenz,105,0
Rheinland-Pfalz,LK Neuwied,58,0
Rheinland-Pfalz,LK Rhein-Hunsrück-Kreis,37,0
Rheinland-Pfalz,LK Rhein-Lahn-Kreis,32,0
Rheinland-Pfalz,LK Westerwaldkreis,52,1
Rheinland-Pfalz,SK Trier,11,0
Rheinland-Pfalz,LK Bernkastel-Wittlich,18,0
Rheinland-Pfalz,LK Bitburg-Prüm,33,0
Rheinland-Pfalz,LK Vulkaneifel,22,0
Rheinland-Pfalz,LK Trier-Saarburg,19,0
Rheinland-Pfalz,SK Frankenthal,10,0
Rheinland-Pfalz,SK Kaiserslautern,14,0
Rheinland-Pfalz,SK Landau i.d.Pfalz,5,0
Rheinland-Pfalz,SK Ludwigshafen,17,0
Rheinland-Pfalz,SK Mainz,58,0
Rheinland-Pfalz,SK Neustadt a.d.Weinstraße,7,0
Rheinland-Pfalz,SK Pirmasens,1,0
Rheinland-Pfalz,SK Speyer,7,0
Rheinland-Pfalz,SK Worms,2,0
Rheinland-Pfalz,SK Zweibrücken,1,0
Rheinland-Pfalz,LK Alzey-Worms,61,0
Rheinland-Pfalz,LK Bad Dürkheim,57,0
Rheinland-Pfalz,LK Donnersbergkreis,17,0
Rheinland-Pfalz,LK Germersheim,25,0
Rheinland-Pfalz,LK Kaiserslautern,13,0
Rheinland-Pfalz,LK Kusel,19,0
Rheinland-Pfalz,LK Südliche Weinstraße,26,0
Rheinland-Pfalz,LK Rhein-Pfalz-Kreis,9,0
Rheinland-Pfalz,LK Mainz-Bingen,38,0
Rheinland-Pfalz,LK Südwestpfalz,11,0
Baden-Württemberg,SK Stuttgart,308,0
Baden-Württemberg,LK Böblingen,67,0
Baden-Württemberg,LK Esslingen,322,2
Baden-Württemberg,LK Göppingen,110,1
Baden-Württemberg,LK Ludwigsburg,176,0
Baden-Württemberg,LK Rems-Murr-Kreis,118,1
Baden-Württemberg,SK Heilbronn,18,0
Baden-Württemberg,LK Heilbronn,117,1
Baden-Württemberg,LK Hohenlohekreis,183,1
Baden-Württemberg,LK Schwäbisch Hall,97,0
Baden-Württemberg,LK Main-Tauber-Kreis,36,0
Baden-Württemberg,LK Heidenheim,39,0
Baden-Württemberg,LK Ostalbkreis,90,0
Baden-Württemberg,SK Baden-Baden,21,0
Baden-Württemberg,SK Karlsruhe,42,0
Baden-Württemberg,LK Karlsruhe,92,0
Baden-Württemberg,LK Rastatt,81,0
Baden-Württemberg,SK Heidelberg,2,0
Baden-Württemberg,SK Mannheim,81,0
Baden-Württemberg,LK Neckar-Odenwald-Kreis,30,0
Baden-Württemberg,LK Rhein-Neckar-Kreis,208,0
Baden-Württemberg,SK Pforzheim,13,0
Baden-Württemberg,LK Calw,92,0
Baden-Württemberg,LK Enzkreis,24,0
Baden-Württemberg,LK Freudenstadt,14,0
Baden-Württemberg,SK Freiburg i.Breisgau,150,0
Baden-Württemberg,LK Breisgau-Hochschwarzwald,133,0
Baden-Württemberg,LK Emmendingen,109,4
Baden-Württemberg,LK Ortenaukreis,74,2
Baden-Württemberg,LK Rottweil,7,1
Baden-Württemberg,LK Schwarzwald-Baar-Kreis,37,0
Baden-Württemberg,LK Tuttlingen,13,0
Baden-Württemberg,LK Konstanz,52,0
Baden-Württemberg,LK Lörrach,57,0
Baden-Württemberg,LK Waldshut,13,1
Baden-Württemberg,LK Reutlingen,94,1
Baden-Württemberg,LK Tübingen,114,0
Baden-Württemberg,LK Zollernalbkreis,70,0
Baden-Württemberg,SK Ulm,35,0
Baden-Württemberg,LK Alb-Donau-Kreis,39,0
Baden-Württemberg,LK Biberach,45,0
Baden-Württemberg,LK Bodenseekreis,71,0
Baden-Württemberg,LK Ravensburg,107,0
Baden-Württemberg,LK Sigmaringen,67,1
Bayern,SK Ingolstadt,5,0
Bayern,SK München,584,0
Bayern,SK Rosenheim,1,0
Bayern,LK Altötting,16,0
Bayern,LK Berchtesgadener Land,6,0
Bayern,LK Bad Tölz-Wolfratshausen,38,0
Bayern,LK Dachau,45,0
Bayern,LK Ebersberg,41,0
Bayern,LK Eichstätt,15,0
Bayern,LK Erding,46,0
Bayern,LK Freising,85,1
Bayern,LK Fürstenfeldbruck,46,0
Bayern,LK Garmisch-Partenkirchen,20,0
Bayern,LK Landsberg a.Lech,17,1
Bayern,LK Miesbach,61,0
Bayern,LK Mühldorf a.Inn,16,0
Bayern,LK München,194,0
Bayern,LK Neuburg-Schrobenhausen,21,0
Bayern,LK Pfaffenhofen a.d.Ilm,18,0
Bayern,LK Rosenheim,100,0
Bayern,LK Starnberg,83,1
Bayern,LK Traunstein,39,1
Bayern,LK Weilheim-Schongau,56,1
Bayern,SK Landshut,28,0
Bayern,SK Passau,6,0
Bayern,SK Straubing,20,0
Bayern,LK Deggendorf,45,0
Bayern,LK Freyung-Grafenau,13,0
Bayern,LK Kelheim,28,0
Bayern,LK Landshut,68,0
Bayern,LK Passau,25,0
Bayern,LK Regen,24,0
Bayern,LK Rottal-Inn,55,0
Bayern,LK Straubing-Bogen,20,0
Bayern,LK Dingolfing-Landau,30,0
Bayern,SK Amberg,2,0
Bayern,SK Regensburg,20,0
Bayern,SK Weiden i.d.OPf.,7,0
Bayern,LK Amberg-Sulzbach,18,0
Bayern,LK Cham,41,0
Bayern,LK Neumarkt i.d.OPf.,18,0
Bayern,LK Neustadt a.d.Waldnaab,3,0
Bayern,LK Regensburg,18,0
Bayern,LK Schwandorf,0,0
Bayern,LK Tirschenreuth,65,1
Bayern,SK Bamberg,2,0
Bayern,SK Bayreuth,4,0
Bayern,SK Coburg,0,0
Bayern,SK Hof,8,0
Bayern,LK Bamberg,28,0
Bayern,LK Bayreuth,20,0
Bayern,LK Coburg,22,0
Bayern,LK Forchheim,19,0
Bayern,LK Hof,19,0
Bayern,LK Kronach,13,0
Bayern,LK Kulmbach,13,0
Bayern,LK Lichtenfels,7,0
Bayern,LK Wunsiedel i.Fichtelgebirge,21,1
Bayern,SK Ansbach,3,0
Bayern,SK Erlangen,17,0
Bayern,SK Fürth,17,0
Bayern,SK Nürnberg,67,0
Bayern,SK Schwabach,8,0
Bayern,LK Ansbach,16,0
Bayern,LK Erlangen-Höchstadt,20,0
Bayern,LK Fürth,14,0
Bayern,LK Nürnberger Land,40,0
Bayern,LK Neustadt a.d.Aisch-Bad Windsheim,9,0
Bayern,LK Roth,11,0
Bayern,LK Weißenburg-Gunzenhausen,8,0
Bayern,SK Aschaffenburg,17,0
Bayern,SK Schweinfurt,0,0
Bayern,SK Würzburg,18,6
Bayern,LK Aschaffenburg,39,0
Bayern,LK Bad Kissingen,14,0
Bayern,LK Rhön-Grabfeld,11,0
Bayern,LK Haßberge,14,0
Bayern,LK Kitzingen,6,0
Bayern,LK Miltenberg,19,0
Bayern,LK Main-Spessart,11,0
Bayern,LK Schweinfurt,4,0
Bayern,LK Würzburg,10,3
Bayern,SK Augsburg,38,0
Bayern,SK Kaufbeuren,0,0
Bayern,SK Kempten (Allgäu),0,0
Bayern,SK Memmingen,14,0
Bayern,LK Aichach-Friedberg,15,0
Bayern,LK Augsburg,47,0
Bayern,LK Dillingen a.d.Donau,6,0
Bayern,LK Günzburg,12,0
Bayern,LK Neu-Ulm,29,1
Bayern,LK Lindau,34,0
Bayern,LK Ostallgäu,5,0
Bayern,LK Unterallgäu,22,0
Bayern,LK Donau-Ries,10,0
Bayern,LK Oberallgäu,52,2
Saarland,LK Stadtverband Saarbrücken,80,0
Saarland,LK Merzig-Wadern,1,0
Saarland,LK Neunkirchen,25,0
Saarland,LK Saarlouis,24,0
Saarland,LK Saar-Pfalz-Kreis,28,0
Saarland,LK Sankt Wendel,29,0
Brandenburg,SK Brandenburg a.d.Havel,3,0
Brandenburg,SK Cottbus,20,0
Brandenburg,SK Frankfurt (Oder),3,0
Brandenburg,SK Potsdam,22,0
Brandenburg,LK Barnim,29,0
Brandenburg,LK Dahme-Spreewald,16,0
Brandenburg,LK Elbe-Elster,8,0
Brandenburg,LK Havelland,10,0
Brandenburg,LK Märkisch-Oderland,23,0
Brandenburg,LK Oberhavel,23,0
Brandenburg,LK Oberspreewald-Lausitz,5,0
Brandenburg,LK Oder-Spree,32,0
Brandenburg,LK Ostprignitz-Ruppin,6,0
Brandenburg,LK Potsdam-Mittelmark,12,0
Brandenburg,LK Prignitz,0,0
Brandenburg,LK Spree-Neiße,25,0
Brandenburg,LK Teltow-Fläming,13,0
Brandenburg,LK Uckermark,4,0
Mecklenburg-Vorpommern,SK Rostock,22,0
Mecklenburg-Vorpommern,SK Schwerin,33,0
Mecklenburg-Vorpommern,LK Mecklenburgische Seenplatte,23,0
Mecklenburg-Vorpommern,LK Rostock,17,0
Mecklenburg-Vorpommern,LK Vorpommern-Rügen,12,0
Mecklenburg-Vorpommern,LK Nordwestmecklenburg,17,0
Mecklenburg-Vorpommern,LK Vorpommern-Greifswald,23,0
Mecklenburg-Vorpommern,LK Ludwigslust-Parchim,18,0
Sachsen,SK Chemnitz,37,0
Sachsen,LK Erzgebirgskreis,27,0
Sachsen,LK Mittelsachsen,24,0
Sachsen,LK Vogtlandkreis,16,0
Sachsen,LK Zwickau,115,0
Sachsen,SK Dresden,65,0
Sachsen,LK Bautzen,50,0
Sachsen,LK Görlitz,12,0
Sachsen,LK Meißen,20,0
Sachsen,LK Sächsische Schweiz-Osterzgebirge,40,0
Sachsen,SK Leipzig,121,0
Sachsen,LK Leipzig,31,0
Sachsen,LK Nordsachsen,9,0
Sachsen-Anhalt,SK Dessau-Roßlau,5,0
Sachsen-Anhalt,SK Halle,44,1
Sachsen-Anhalt,SK Magdeburg,29,0
Sachsen-Anhalt,LK Altmarkkreis Salzwedel,3,0
Sachsen-Anhalt,LK Anhalt-Bitterfeld,8,0
Sachsen-Anhalt,LK Börde,25,0
Sachsen-Anhalt,LK Burgenlandkreis,14,0
Sachsen-Anhalt,LK Harz,12,0
Sachsen-Anhalt,LK Jerichower Land,3,0
Sachsen-Anhalt,LK Mansfeld-Südharz,5,0
Sachsen-Anhalt,LK Saalekreis,12,0
Sachsen-Anhalt,LK Salzlandkreis,13,0
Sachsen-Anhalt,LK Stendal,7,0
Sachsen-Anhalt,LK Wittenberg,8,0
Thüringen,SK Erfurt,27,0
Thüringen,SK Gera,4,0
Thüringen,SK Jena,13,0
Thüringen,SK Suhl,2,0
Thüringen,SK Weimar,10,0
Thüringen,SK Eisenach,1,0
Thüringen,LK Eichsfeld,7,0
Thüringen,LK Nordhausen,3,0
Thüringen,LK Wartburgkreis,4,0
Thüringen,LK Unstrut-Hainich-Kreis,5,0
Thüringen,LK Kyffhäuserkreis,11,0
Thüringen,LK Schmalkalden-Meiningen,13,0
Thüringen,LK Gotha,4,0
Thüringen,LK Sömmerda,2,0
Thüringen,LK Hildburghausen,1,0
Thüringen,LK Ilm-Kreis,5,0
Thüringen,LK Weimarer Land,9,0
Thüringen,LK Sonneberg,0,0
Thüringen,LK Saalfeld-Rudolstadt,12,0
Thüringen,LK Saale-Holzland-Kreis,13,0
Thüringen,LK Saale-Orla-Kreis,7,0
Thüringen,LK Greiz,30,0
Thüringen,LK Altenburger Land,4,0
Berlin,SK Berlin Reinickendorf,57,1
Berlin,SK Berlin Charlottenburg-Wilmersdorf,124,0
Berlin,SK Berlin Treptow-Köpenick,51,0
Berlin,SK Berlin Pankow,81,0
Berlin,SK Berlin Neukölln,78,0
Berlin,SK Berlin Lichtenberg,35,0
Berlin,SK Berlin Marzahn-Hellersdorf,26,0
Berlin,SK Berlin Spandau,23,0
Berlin,SK Berlin Steglitz-Zehlendorf,70,0
Berlin,SK Berlin Mitte,133,0
Berlin,SK Berlin Friedrichshain-Kreuzberg,93,0
Berlin,SK Berlin Tempelhof-Schöneberg,95,0
