Kommune,Last Update Day,Last Update Time,Confirmed,Deaths,Recovered,Quarantine,Source (Link)
Ammerland,3/14/20,13:00,7,,,,https://www.ammerland.de/Aktuelles/Topthemen/Coronavirus/
Aurich,3/11/20,,3,,,,https://www.landkreis-aurich.de/aktuelles/detail/corona-faelle-im-landkreis-aurich.html
Braunschweig,3/14/20,,5,,,,https://www.braunschweig.de/politik_verwaltung/nachrichten/corona.php
Celle,,,,,,,
Cloppenburg,3/14/20,,2,,,,https://lkclp.de/aktuelles-presse/pressemitteilungen.php?aid=3310
Cuxhaven,3/13/20,,5,,,,https://www.landkreis-cuxhaven.de/Corona/F%C3%BCnfter-best%C3%A4tigter-Corona-Fall-im-Landkreis-Cuxhaven.php?object=tx,2736.6&ModID=7&FID=3189.708.1&NavID=3189.26&La=1
Delmenhorst (Stadt),,,,,,
Diepholz,3/14/20,,21,,,,https://www.diepholz.de/portal/meldungen/zahl-der-corona-erkrankten-steigt-im-landkreis-diepholz-auf-21-personen-900004935-21750.html?rubrik=900000022
Emden (Stadt),3/13/20,,3,,,21,https://www.emden.de/aktuell/coronavirus-aktuelle-informationen-1-1
Emsland,3/14/20,11:00,10,,,,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/das-coronavirus.html
Friesland,3/9/20,,2,,,,https://www.friesland.de/portal/meldungen/coronavirus-erster-bestaetigter-fall-im-landkreis-friesland-901004199-20800.html?rubrik=901000006
Gifhorn,3/13/20,,7,,,,https://www.gifhorn.de/start/nachricht-startseite/news/zwei-weitere-coronafaelle-im-landkreis-gifhorn-notfallbetreuung-in-allen-schulen-und-kindertagesstae/
Goslar,3/14/20,,5,,,,https://www.landkreis-goslar.de/index.phtml?object=tx,1749.10&ModID=7&FID=94.13479.1&mNavID=1749.9&sNavID=94.35
Göttingen,,,,,,,
Grafschaft Bentheim,3/14/20,,5,,,,https://www.grafschaft-bentheim.de/magazin/magazin.php?menuid=893&topmenu=893
Hameln-Pyrmont,3/13/20,16:00,60,,,,https://www.hannover.de/Leben-in-der-Region-Hannover/Verwaltungen-Kommunen/Die-Verwaltung-der-Region-Hannover/Region-Hannover/Aktuelle-Informationen-zum-Coronavirus
Hannover (Region),3/14/20,,3,,,,https://www.hameln-pyrmont.de/Landkreis/3-Corona-Fall-im-Landkreis-Hameln-Pyrmont.php?object=tx,2561.5&ModID=7&FID=2749.5577.1&NavID=2561.7
Harburg,,,,,,,
Heidekreis,,,,,,,
Helmstedt,3/13/20,,2,,,,https://www.helmstedt.de/magazin/artikel.php?artikel=3717&menuid=483&topmenu=625&date=2020-03-13
Hildesheim,3/12/20,17:00,7,,,59,https://www.landkreishildesheim.de/-Landkreis-Corona-Aktuelle-Informationen-aus-dem-Kreishaus.php?object=tx,2829.5&ModID=7&mobile=off&FID=2829.3102.1
Holzminden,3/11/20,15:00,1,,,,https://www.landkreis-holzminden.de/portal/meldungen/erster-corona-fall-im-landkreis-holzminden-bestaetigt-900000618-25600.html?rubrik=900000001
Leer,3/4/20,9:00,1,,,,http://www.presse-service.de/data.aspx/static/1038690.html
Lüchow-Dannenberg,3/14/20,12:30,0,0,0,1,https://www.luechow-dannenberg.de/home/aktuelles/pressemitteilungen/coronavirus-aktuelle-lage-14-03-2020-11-30-uhr-0.aspx
Lüneburg,3/13/20,,2,,,,https://www.landkreis-lueneburg.de/Home-Landkreis-Lueneburg/Politik-und-Verwaltung/Aktuelles-Landkreis/Pressemitteilungen/corona-virus-zweiter-bestaetigter-fall-im-landkreis-lueneburg.aspx
Nienburg/Weser,3/14/20,,2,,,,https://www.lk-nienburg.de/portal/meldungen/corona-virus-niedersachsen-schliesst-ab-montag-alle-schulen-weitere-verdachtsfaelle-im-landkreis-nienburg-901005853-21500.html?rubrik=8
Northeim,3/13/20,5,,,,,https://www.landkreis-northeim.de/portal/meldungen/fuenfte-corona-infektion-im-landkreis-northeim-bestaetigt-900001753-23900.html?rubrik=900000070
Oldenburg (Stadt),,,,,,,
Oldenburg,,,,,,,
Osnabrück (Stadt und Landkreis),3/14/20,,58,,,ca. 200,https://www.osnabrueck.de/coronavirus/
Osterholz,3/13/20,,12,,,,https://www.landkreis-osterholz.de/portal/meldungen/drei-weitere-coronafaelle-im-landkreis-osterholz-901005059-21000.html?rubrik=901000012
Peine,3/13/20,,2,,,,https://www.landkreis-peine.de/Aktuelles-B%C3%BCrgerservice/Archiv-Pressemitteilungen/Zwei-best%C3%A4tigte-Corona-F%C3%A4lle-im-Landkreis-Peine.php?object=tx,2555.5.1&ModID=7&FID=2555.6489.1&NavID=2555.17&La=1
Rotenburg (Wümme),3/13/20,13:00,7,,,,https://www.lk-row.de/portal/seiten/coronavirus-sars-cov-2--900000145-23700.html?rubrik=1007
Salzgitter (Stadt),3/13/20,18:10,2,,,42,https://www.salzgitter.de/rathaus/news/presse-nachrichten.php
Schaumburg,3/11/20,,2,,,,https://www.schaumburg.de/Aktuelles/Coronavirus
Stade,3/14/20,13:00,21,,,207,https://www.landkreis-stade.de/portal/meldungen/coronavirus-aktuelle-lage-informationen-und-hinweise-des-gesundheitsamtes-landkreis-stade-901004416-20350.html?rubrik=901000006
Uelzen,3/11/20,,1,,,,https://www.landkreis-uelzen.de/desktopdefault.aspx/tabid-2/69_read-9145/
Vechta,3/14/20,,2,,,,https://www.landkreis-vechta.de/nc/service/aktuelles/veroeffentlichungen/einzelansicht/news/die-wichtigsten-infos-zum-neuartigen-coronavirus-stand-14-maerz-2020.html
Verden,3/13/20,13:00,8,,,,https://www.landkreis-verden.de/portal/meldungen/achter-coronavirus-fall-im-landkreis-901003226-20600.html?rubrik=901000034
Wesermarsch,,,0,,,,
Wilhelmshaven (Stadt),3/14/20,,3,,,,https://www.wilhelmshaven.de/Themen/Bekanntmachungen/37103-Ein-weiterer-best%C3%A4tigter-Fall-in-Wilhelmshaven.html
Wittmund,,,,,,,
Wolfenbüttel,,,0,,,,
Wolfsburg (Stadt),3/13/20,14:30,3,,,,https://www.wolfsburg.de/newsroom/2020/02/26/13/41/coronavirus
